video_name,target
v_ApplyEyeMakeup_g01_c04,1
v_ApplyEyeMakeup_g04_c06,1
v_ApplyEyeMakeup_g05_c03,1
v_ApplyEyeMakeup_g05_c06,1
v_ApplyEyeMakeup_g06_c02,1
v_ApplyEyeMakeup_g08_c01,1
v_ApplyEyeMakeup_g08_c03,1
v_ApplyEyeMakeup_g09_c01,1
v_ApplyEyeMakeup_g10_c01,1
v_ApplyEyeMakeup_g10_c03,1
v_ApplyEyeMakeup_g23_c03,1
v_ApplyEyeMakeup_g24_c03,1
v_ApplyEyeMakeup_g24_c04,1
v_ApplyEyeMakeup_g25_c04,1
v_ApplyLipstick_g05_c02,2
v_ApplyLipstick_g05_c03,2
v_ApplyLipstick_g06_c01,2
v_ApplyLipstick_g06_c04,2
v_ApplyLipstick_g08_c01,2
v_ApplyLipstick_g09_c03,2
v_ApplyLipstick_g14_c02,2
v_ApplyLipstick_g22_c05,2
v_Archery_g05_c02,3
v_Archery_g06_c04,3
v_Archery_g08_c02,3
v_Archery_g09_c02,3
v_Archery_g09_c04,3
v_Archery_g09_c05,3
v_Archery_g10_c03,3
v_Archery_g10_c05,3
v_Archery_g22_c05,3
v_Archery_g23_c01,3
v_Archery_g23_c03,3
v_Archery_g23_c05,3
v_Archery_g23_c07,3
v_BabyCrawling_g01_c03,4
v_BabyCrawling_g03_c03,4
v_BabyCrawling_g07_c03,4
v_BabyCrawling_g07_c05,4
v_BabyCrawling_g09_c05,4
v_BabyCrawling_g10_c05,4
v_BabyCrawling_g14_c01,4
v_BabyCrawling_g22_c06,4
v_BalanceBeam_g01_c01,5
v_BalanceBeam_g03_c04,5
v_BalanceBeam_g06_c05,5
v_BalanceBeam_g06_c07,5
v_BalanceBeam_g08_c03,5
v_BalanceBeam_g12_c03,5
v_BalanceBeam_g22_c03,5
v_BalanceBeam_g25_c01,5
v_BandMarching_g03_c04,6
v_BandMarching_g03_c06,6
v_BandMarching_g04_c03,6
v_BandMarching_g06_c04,6
v_BandMarching_g07_c07,6
v_BandMarching_g08_c06,6
v_BandMarching_g09_c03,6
v_BandMarching_g11_c01,6
v_BandMarching_g11_c04,6
v_BandMarching_g12_c06,6
v_BandMarching_g13_c03,6
v_BandMarching_g14_c03,6
v_BandMarching_g23_c06,6
v_BaseballPitch_g01_c06,7
v_BaseballPitch_g02_c02,7
v_BaseballPitch_g02_c03,7
v_BaseballPitch_g04_c03,7
v_BaseballPitch_g04_c04,7
v_BaseballPitch_g05_c07,7
v_BaseballPitch_g06_c06,7
v_BaseballPitch_g08_c03,7
v_BaseballPitch_g09_c02,7
v_BaseballPitch_g13_c06,7
v_BaseballPitch_g23_c05,7
v_BaseballPitch_g24_c01,7
v_Basketball_g01_c01,8
v_Basketball_g01_c07,8
v_Basketball_g05_c01,8
v_Basketball_g11_c02,8
v_Basketball_g11_c05,8
v_Basketball_g12_c01,8
v_Basketball_g13_c02,8
v_Basketball_g13_c03,8
v_Basketball_g22_c02,8
v_Basketball_g23_c05,8
v_BasketballDunk_g01_c02,9
v_BasketballDunk_g02_c04,9
v_BasketballDunk_g08_c03,9
